"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140103","catalytic activity, acting on a glycoprotein","0/15","19/9751",0,0,-0.171251113930875,1,1,1,"",0
"GO:0140104","molecular carrier activity","0/15","51/9751",0,0,-0.281032712826867,1,1,1,"",0
"GO:0140142","nucleocytoplasmic carrier activity","0/15","14/9751",0,0,-0.146963365070834,1,1,1,"",0
"GO:0140161","monocarboxylate:sodium symporter activity","0/15","7/9751",0,0,-0.103881458168992,1,1,1,"",0
"GO:0140186","protein N-acyltransferase activity","0/15","24/9751",0,0,-0.192519097757105,1,1,1,"",0
"GO:0140223","general transcription initiation factor activity","0/15","23/9751",0,0,-0.188455923141403,1,1,1,"",0
"GO:0140296","general transcription initiation factor binding","0/15","10/9751",0,0,-0.124181208819988,1,1,1,"",0
"GO:0140297","DNA-binding transcription factor binding","0/15","76/9751",0,0,-0.343509667506359,1,1,1,"",0
"GO:0140299","molecular sensor activity","0/15","26/9751",0,0,-0.200400833616078,1,1,1,"",0
"GO:0140303","intramembrane lipid transporter activity","0/15","17/9751",0,0,-0.16197069454968,1,1,1,"",0
"GO:0140311","protein sequestering activity","0/15","5/9751",0,0,-0.0877868474977504,1,1,1,"",0
"GO:0140312","cargo adaptor activity","0/15","11/9751",0,0,-0.130249036367556,1,1,1,"",0
"GO:0140313","molecular sequestering activity","0/15","6/9751",0,0,-0.0961706072302906,1,1,1,"",0
"GO:0140318","protein transporter activity","0/15","13/9751",0,0,-0.141610170543856,1,1,1,"",0
"GO:0140326","ATPase-coupled intramembrane lipid transporter activity","0/15","8/9751",0,0,-0.111059649107516,1,1,1,"",0
"GO:0140358","P-type transmembrane transporter activity","0/15","17/9751",0,0,-0.16197069454968,1,1,1,"",0
"GO:0140359","ABC-type transporter activity","0/15","51/9751",0,0,-0.281032712826867,1,1,1,"",0
"GO:0140375","immune receptor activity","0/15","3/9751",0,0,-0.0679924235888066,1,1,1,"",0
"GO:0140410","monoatomic cation:bicarbonate symporter activity","0/15","3/9751",0,0,-0.0679924235888066,1,1,1,"",0
"GO:0140457","protein demethylase activity","0/15","16/9751",0,0,-0.157126583749708,1,1,1,"",0
"GO:0140463","chromatin-protein adaptor activity","0/15","14/9751",0,0,-0.146963365070834,1,1,1,"",0
"GO:0140566","histone reader activity","0/15","14/9751",0,0,-0.146963365070834,1,1,1,"",0
"GO:0140608","cysteine-type endopeptidase activator activity","0/15","3/9751",0,0,-0.0679924235888066,1,1,1,"",0
"GO:0140612","DNA damage sensor activity","0/15","8/9751",0,0,-0.111059649107516,1,1,1,"",0
"GO:0140640","catalytic activity, acting on a nucleic acid","0/15","450/9751",0,0,-0.852509229469674,1,1,1,"",0
"GO:0140657","ATP-dependent activity","0/15","385/9751",0,0,-0.785798042844399,1,1,1,"",0
"GO:0140658","ATP-dependent chromatin remodeler activity","0/15","12/9751",0,0,-0.136047665793801,1,1,1,"",0
"GO:0140662","ATP-dependent protein folding chaperone","0/15","23/9751",0,0,-0.188455923141403,1,1,1,"",0
"GO:0140664","ATP-dependent DNA damage sensor activity","0/15","8/9751",0,0,-0.111059649107516,1,1,1,"",0
"GO:0140666","annealing activity","0/15","3/9751",0,0,-0.0679924235888066,1,1,1,"",0
"GO:0140678","molecular function inhibitor activity","0/15","133/9751",0,0,-0.45576512378091,1,1,1,"",0
"GO:0140680","histone H3K36me/H3K36me2 demethylase activity","0/15","3/9751",0,0,-0.0679924235888066,1,1,1,"",0
"GO:0140682","FAD-dependent H3K4me/H3K4me3 demethylase activity","0/15","3/9751",0,0,-0.0679924235888066,1,1,1,"",0
"GO:0140693","molecular condensate scaffold activity","0/15","3/9751",0,0,-0.0679924235888066,1,1,1,"",0
"GO:0140750","nucleosome array spacer activity","0/15","6/9751",0,0,-0.0961706072302906,1,1,1,"",0
"GO:0140751","histone octamer slider activity","0/15","6/9751",0,0,-0.0961706072302906,1,1,1,"",0
"GO:0140776","protein-containing complex destabilizing activity","0/15","6/9751",0,0,-0.0961706072302906,1,1,1,"",0
"GO:0140784","metal ion sensor activity","0/15","11/9751",0,0,-0.130249036367556,1,1,1,"",0
"GO:0140806","NAD+-protein-aspartate ADP-ribosyltransferase activity","0/15","3/9751",0,0,-0.0679924235888066,1,1,1,"",0
"GO:0140807","NAD+-protein-glutamate ADP-ribosyltransferase activity","0/15","3/9751",0,0,-0.0679924235888066,1,1,1,"",0
"GO:0140825","lactoperoxidase activity","0/15","5/9751",0,0,-0.0877868474977504,1,1,1,"",0
"GO:0140828","metal cation:monoatomic cation antiporter activity","0/15","20/9751",0,0,-0.175708963277459,1,1,1,"",0
"GO:0140938","histone H3 methyltransferase activity","0/15","29/9751",0,0,-0.211679521607847,1,1,1,"",0
"GO:0140939","histone H4 methyltransferase activity","0/15","4/9751",0,0,-0.0785149154590138,1,1,1,"",0
"GO:0140940","histone H2A methyltransferase activity","0/15","3/9751",0,0,-0.0679924235888066,1,1,1,"",0
"GO:0140956","histone H3K79 trimethyltransferase activity","0/15","6/9751",0,0,-0.0961706072302906,1,1,1,"",0
"GO:0140994","RNA polymerase II CTD heptapeptide repeat modifying activity","0/15","10/9751",0,0,-0.124181208819988,1,1,1,"",0
"GO:0140996","histone H3 kinase activity","0/15","17/9751",0,0,-0.16197069454968,1,1,1,"",0
"GO:0141047","molecular tag activity","0/15","15/9751",0,0,-0.152129347202122,1,1,1,"",0
"GO:0141052","histone H3 demethylase activity","0/15","13/9751",0,0,-0.141610170543856,1,1,1,"",0
"GO:0141108","transporter regulator activity","0/15","32/9751",0,0,-0.222393378687274,1,1,1,"",0
"GO:0141110","transporter inhibitor activity","0/15","10/9751",0,0,-0.124181208819988,1,1,1,"",0
"GO:0141148","enoyl-[acyl-carrier-protein] reductase (NADPH) activity","0/15","3/9751",0,0,-0.0679924235888066,1,1,1,"",0
"GO:0141218","NAD-dependent protein lysine deacylase activity","0/15","4/9751",0,0,-0.0785149154590138,1,1,1,"",0
"GO:0141221","histone deacetylase activity, hydrolytic mechanism","0/15","5/9751",0,0,-0.0877868474977504,1,1,1,"",0
"GO:0160041","neuropeptide activity","0/15","5/9751",0,0,-0.0877868474977504,1,1,1,"",0
"GO:0170055","lipid transmembrane transporter activity","0/15","9/9751",0,0,-0.117802592154247,1,1,1,"",0
"GO:0170060","microtubule destabilizing activity","0/15","6/9751",0,0,-0.0961706072302906,1,1,1,"",0
"GO:0180030","inositol phosphate kinase activity","0/15","7/9751",0,0,-0.103881458168992,1,1,1,"",0
"GO:0180051","translation factor activity","0/15","68/9751",0,0,-0.324793362354425,1,1,1,"",0
"GO:1901375","acetate ester transmembrane transporter activity","0/15","4/9751",0,0,-0.0785149154590138,1,1,1,"",0
"GO:1901505","carbohydrate derivative transmembrane transporter activity","0/15","38/9751",0,0,-0.242422406834111,1,1,1,"",0
"GO:1901567","fatty acid derivative binding","0/15","12/9751",0,0,-0.136047665793801,1,1,1,"",0
"GO:1901681","sulfur compound binding","0/15","30/9751",0,0,-0.215309310687422,1,1,1,"",0
"GO:1901682","sulfur compound transmembrane transporter activity","0/15","14/9751",0,0,-0.146963365070834,1,1,1,"",0
"GO:1901981","phosphatidylinositol phosphate binding","0/15","42/9751",0,0,-0.254914799227733,1,1,1,"",0
"GO:1902387","ceramide 1-phosphate binding","0/15","3/9751",0,0,-0.0679924235888066,1,1,1,"",0
"GO:1902388","ceramide 1-phosphate transfer activity","0/15","3/9751",0,0,-0.0679924235888066,1,1,1,"",0
"GO:1902936","phosphatidylinositol bisphosphate binding","0/15","21/9751",0,0,-0.180057361561773,1,1,1,"",0
"GO:1904047","S-adenosyl-L-methionine binding","0/15","3/9751",0,0,-0.0679924235888066,1,1,1,"",0
"GO:1904315","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","0/15","66/9751",0,0,-0.319948302254684,1,1,1,"",0
"GO:1904680","peptide transmembrane transporter activity","0/15","4/9751",0,0,-0.0785149154590138,1,1,1,"",0
"GO:1990239","steroid hormone binding","0/15","4/9751",0,0,-0.0785149154590138,1,1,1,"",0
"GO:1990404","NAD+-protein mono-ADP-ribosyltransferase activity","0/15","3/9751",0,0,-0.0679924235888066,1,1,1,"",0
"GO:1990782","protein tyrosine kinase binding","0/15","11/9751",0,0,-0.130249036367556,1,1,1,"",0
"GO:1990817","poly(A) RNA polymerase activity","0/15","12/9751",0,0,-0.136047665793801,1,1,1,"",0
